locatie;UN;Product;batch;aantal;verdiep
HH00104;000095017938;H000025889;980305B270;128.860;04
HL02103;000095018021;H000025889;980305B284;134.030;03
HL02101;000095017931;H000025889;980305B283;93.460;01
HL02102;000095018008;H000025889;980305B190;128.200;02
HJ01502;000095017941;H000025889;980305B273;132.830;02
HL03201;000095018047;H000025889;980305B294;127.300;01
HH00204;000095017942;H000025889;980305B274;128.760;04
HH00202;000095018012;H000025889;980305B272;132.400;02
HH00303;000095017943;H000025889;980305B275;139.010;03
HL01906;000095017935;H000025889;980305B188;138.430;06
HH00301;000095017925;H000025889;980305B274;138.710;01
HH00106;000095017922;H000025889;980305B271;132.770;06
HH00105;000095017921;H000025889;980305B270;136.880;05
HH00201;000095017939;H000025889;980305B271;133.960;01
HJ02206;000095017940;H000025889;980305B272;137.770;06
HJ01802;000095017926;H000025889;980305B275;137.360;02
HL02301;000095017917;H000025889;980305A290;131.380;01
HL02105;000095018018;H000025889;980305B281;100.390;05
HJ02104;000095018009;H000025889;980305B191;130.610;04
HL02401;000095018019;H000025889;980305B282;129.240;01
HJ02201;000095017946;H000025889;980305B281;139.590;01
HL02302;000095017920;H000025889;980305B191;134.610;02
HL03106;000095018055;H000025889;980305B305;139.350;06
HL03202;000095018053;H000025889;980305B303;126.320;02
HL03103;000095018052;H000025889;980305B302;127.550;03
HL03102;000095018035;H000025889;980305B301;126.850;02
HL03105;000095018064;H000025889;980305B297;134.380;05
HM04902;000095018063;H000025889;980305B294;138.380;02
HL03301;000095018034;H000025889;980305B300;134.970;01
HL00106;000095018037;H000025889;980305B303;139.100;06
HL03302;000095018065;H000025889;980305B299;134.870;02
HL03303;000095018056;H000025889;980305B306;131.820;03
HL03304;000095018068;H000025889;980305B302;138.270;04
HL03305;000095018039;H000025889;980305B305;126.150;05
HL03401;000095018038;H000025889;980305B304;137.770;01
HL00102;000095018051;H000025889;980305B301;138.800;02
HL03403;000095018059;H000025889;980305B310;131.210;03
HJ01404;000095018057;H000025889;980305B307;130.610;04
HL00105;000095018049;H000025889;980305B299;131.580;05
HL03406;000095018072;H000025889;980305B306;134.560;06
HL03502;000095018073;H000025889;980305B307;134.740;02
HL03501;000095018058;H000025889;980305B309;133.820;01
HL03503;000095018060;H000025889;980305B311;131.890;03
HL03504;000095018061;H000025889;980305B312;133.940;04
HL03506;000095018075;H000025889;980305B310;135.080;06
HL03505;000095018062;H000025889;980305B324;129.350;05
HK01102;000095018045;H000025889;980305B312;131.380;02
HK01101;000095018076;H000025889;980305B311;133.890;01
HK01104;000095018078;H000025889;980305B324;136.720;04
HK01103;000095018042;H000025889;980305B309;131.410;03
HL05105;000095077187;H000025889;980305A313;121.670;05
HL05106;000095077180;H000025889;980305B363;135.270;06
HL05006;000095077174;H000025889;980305A336;134.650;06
HL05104;000095077173;H000025889;980305A335;135.180;04
HL05004;000095077196;H000025889;980305B363;135.010;04
HL05005;000095077171;H000025889;980305A313;134.300;05
HL04905;000095077178;H000025889;980305B361;137.810;05
HL04904;000095077194;H000025889;980305B361;127.620;04
HJ01206;000095077181;H000025889;980305B364;138.690;06
HL04805;000095077197;H000025889;980305B364;127.640;05
HL05205;000095077189;H000025889;980305A335;130.330;05
HL05204;000095077172;H000025889;980305A314;132.660;04
HL05301;000095077191;H000025889;980305B345;136.950;01
HL05302;000095077188;H000025889;980305A314;132.010;02
HJ00101;000095077166;H000025889;980305A304;137.390;01
HL05303;000095077190;H000025889;980305A336;129.020;03
HL05305;000095077184;H000025889;980305A305;130.770;05
HL05306;000095077168;H000025889;980305A306;135.380;06
HL05702;000095077175;H000025889;980305B345;128.160;02
HL05701;000095077176;H000025889;980305B346;130.690;01
HJ01801;000095077170;H000025889;980305A312;138.410;01
HL05402;000095077185;H000025889;980305A306;136.010;02
HL05401;000095077186;H000025889;980305A312;134.240;01
HL05403;000095077182;H000025889;980305B379;127.710;03
HL05404;000095077192;H000025889;980305B346;137.560;04
HL05406;000095077193;H000025889;980305B347;90.620;06
HL05405;000095077183;H000025889;980305A304;106.450;05
HL05501;000095077177;H000025889;980305B347;132.760;01
HL05502;000095077198;H000025889;980305B379;135.160;02
HL05601;000095077167;H000025889;980305A305;114.620;01
HJ01401;000095077179;H000025889;980305B362;127.680;01
HL04806;000095077195;H000025889;980305B362;136.080;06
HK00903;000095077244;H000025889;980305B296;136.630;03
HK00902;000095077221;H000025889;980305B288;123.650;02
HJ01804;000095077228;H000025889;980305B296;116.030;04
